"","User_ID","Cust_name","Product_ID","Gender","Age_Group","Age","State","Zone","Occupation","Product_Category","Orders","Amount","Marital_Status"
"35",1004508,"Phonely","P00048742","F","26-35",32,"Andhra Pradesh","Southern","Aviation","Auto",1,23270,"Single"
"36",1002520,"Mike","P00310342","M","55+",72,"Himachal Pradesh","Northern","Media","Auto",4,23267,"Married"
"37",1003111,"Dean","P00249542","F","18-25",25,"Andhra Pradesh","Southern","Banking","Auto",4,23252,"Married"
"38",1000687,"Neola","P00156442","M","26-35",35,"Kerala","Southern","Aviation","Auto",1,23247,"Single"
"39",1003267,"Trupti","P00144242","M","26-35",30,"Uttar Pradesh","Central","Banking","Hand & Power Tools",2,23246,"Married"
"40",1001182,"Zypern","P00122442","M","0-17",16,"Andhra Pradesh","Southern","Food Processing","Auto",4,23239,"Single"
"41",1005383,"Ellison","P0096942","F","36-45",40,"Andhra Pradesh","Southern","Aviation","Auto",2,23201,"Single"
"42",1004303,"Jane","P00201442","F","26-35",35,"Andhra Pradesh","Southern","Aviation","Auto",2,23185,"Married"
"43",1005493,"Stewart","P00036242","M","36-45",45,"Andhra Pradesh","Southern","Agriculture","Hand & Power Tools",3,23160,"Married"
"44",1000728,"Breyer","P00113942","F","26-35",28,"Andhra Pradesh","Southern","Banking","Auto",1,23154,"Single"
"45",1002966,"Jesslyn","P00121642","M","26-35",32,"Delhi","Central","Construction","Auto",3,23103,"Married"
"46",1001726,"Abhijit","P00105042","F","26-35",32,"Andhra Pradesh","Southern","Retail","Auto",4,23066,"Single"
"47",1001404,"Vineet","P00141842","F","51-55",53,"Andhra Pradesh","Southern","IT Sector","Auto",2,23053,"Single"
"48",1005267,"Elizabeth","P00115342","F","36-45",43,"Andhra Pradesh","Southern","IT Sector","Auto",3,23047,"Married"
"49",1003745,"Shivani","P00220042","M","26-35",29,"Haryana","Northern","IT Sector","Stationery",2,21563,"Single"
"50",1001884,"Eugene","P00339042","F","46-50",47,"Delhi","Central","Textile","Stationery",1,21547,"Single"
"51",1001804,"Ishit","P00000642","F","26-35",35,"Delhi","Central","Lawyer","Stationery",1,21533,"Single"
"52",1005359,"Schwarz","P00302742","F","18-25",22,"Delhi","Central","Media","Stationery",1,21503,"Married"
"53",1000151,"Sujay","P00150342","M","26-35",34,"Karnataka","Southern","IT Sector","Stationery",2,21495,"Married"
"54",1001389,"Smriti","P00261542","F","26-35",33,"Delhi","Central","Agriculture","Stationery",3,21463,"Married"
"55",1002665,"Champaklata","P00261842","F","36-45",36,"Delhi","Central","IT Sector","Stationery",4,21427,"Single"
"56",1002496,"Patil","P00114042","F","51-55",52,"Delhi","Central","IT Sector","Stationery",4,21423,"Single"
"57",1001442,"Atharv","P00145042","M","18-25",18,"Delhi","Central","Construction","Stationery",2,21401,"Married"
"58",1000379,"Thais","P00121642","M","36-45",39,"Maharashtra","Western","Healthcare","Stationery",3,21397,"Single"
"59",1003916,"Surabhi","P00003242","M","26-35",34,"Delhi","Central","Agriculture","Stationery",4,21388,"Married"
"60",1001687,"Bruce","P00265242","F","26-35",33,"Maharashtra","Western","Govt","Stationery",4,21325,"Single"
"61",1000423,"Saurabh","P00046742","M","18-25",21,"Delhi","Central","Automobile","Stationery",2,21320,"Single"
"62",1002395,"Vaibhavi","P00220342","F","36-45",38,"Delhi","Central","Aviation","Stationery",2,21317,"Married"
"63",1004728,"Larry","P00037042","F","26-35",28,"Delhi","Central","IT Sector","Stationery",4,21293,"Single"
"64",1005054,"Parhena","P0096542","F","36-45",37,"Delhi","Central","Hospitality","Stationery",1,21266,"Single"
"65",1004489,"Pete","P00216742","M","18-25",20,"Delhi","Central","Construction","Stationery",1,21259,"Single"
"66",1001865,"Cyra","P00213742","M","18-25",23,"Kerala","Southern","Media","Stationery",2,21246,"Married"
"67",1003022,"Rozendal","P00130742","F","26-35",34,"Delhi","Central","Banking","Stationery",4,21218,"Single"
"68",1001657,"Jack","P00248442","M","46-50",49,"Andhra Pradesh","Southern","Govt","Stationery",2,21178,"Single"
"69",1003751,"Victor","P00129542","M","36-45",38,"Karnataka","Southern","Media","Stationery",1,21178,"Married"
"70",1000179,"Debra","P00261642","F","26-35",30,"Delhi","Central","Aviation","Stationery",4,21152,"Single"
"71",1000438,"Bhosale","P00182542","F","18-25",25,"Madhya Pradesh","Central","IT Sector","Tupperware",2,21079,"Single"
"72",1003618,"Keshav","P00248942","M","18-25",19,"Maharashtra","Western","Media","Tupperware",1,21058,"Married"
"73",1003415,"Arsheen","P00152742","M","36-45",42,"Delhi","Central","Hospitality","Stationery",1,21039,"Single"
"74",1002485,"Kaydos","P00302342","F","36-45",38,"Gujarat","Western","Media","Tupperware",3,21013,"Married"
"75",1001495,"Fjeld","P00064042","F","18-25",21,"Delhi","Central","IT Sector","Stationery",4,21009,"Married"
"76",1004607,"Turumella","P00173342","M","26-35",35,"Delhi","Central","Govt","Stationery",4,20981,"Single"
"77",1005316,"Vernon","P00278642","F","18-25",24,"Kerala","Southern","Govt","Tupperware",4,20967,"Married"
"78",1000461,"Connell","P00142942","M","51-55",52,"Himachal Pradesh","Northern","Healthcare","Stationery",2,20965,"Married"
"79",1000154,"Shami","P00306042","F","51-55",53,"Karnataka","Southern","Textile","Footwear & Shoes",4,20965,"Married"
"80",1000749,"Flanagan","P00114342","F","36-45",37,"Uttar Pradesh","Central","Lawyer","Footwear & Shoes",2,20963,"Married"
"81",1006040,"Pond","P00271242","F","26-35",28,"Delhi","Central","IT Sector","Footwear & Shoes",1,20960,"Married"
"82",1001284,"O'Brian","P00157142","M","46-50",50,"Karnataka","Southern","Banking","Footwear & Shoes",3,20960,"Single"
"83",1004269,"Namrata","P00345242","F","36-45",40,"Delhi","Central","Lawyer","Footwear & Shoes",1,20959,"Single"
"84",1001496,"Haushalter","P00067942","F","26-35",35,"Madhya Pradesh","Central","Chemical","Footwear & Shoes",1,20955,"Married"
"85",1003007,"Maurice","P00191942","F","36-45",45,"Delhi","Central","Banking","Stationery",4,20951.5,"Single"
"86",1004715,"Snel","P00217442","F","26-35",35,"Delhi","Central","Food Processing","Footwear & Shoes",3,20950,"Single"
"87",1000306,"Patrick","P00303242","F","18-25",18,"Maharashtra","Western","Aviation","Tupperware",3,20949,"Single"
"88",1000855,"Sung","P00240042","M","18-25",22,"Delhi","Central","Automobile","Footwear & Shoes",3,20948,"Single"
"89",1001183,"Mahima","P00084842","F","36-45",43,"Delhi","Central","Aviation","Footwear & Shoes",4,20945,"Married"
"90",1005954,"Charlotte","P00156242","F","46-50",48,"Karnataka","Southern","Automobile","Footwear & Shoes",2,20944,"Married"
"91",1005627,"Anubhaw","P00123142","M","26-35",28,"Delhi","Central","IT Sector","Stationery",1,20943,"Single"
"92",1002165,"Black","P00260442","F","26-35",31,"Delhi","Central","IT Sector","Footwear & Shoes",1,20938,"Married"
"93",1004416,"Airdo","P00213742","F","18-25",23,"Uttar Pradesh","Central","Construction","Footwear & Shoes",2,20933,"Single"
"94",1000850,"Bhawna","P00319942","F","36-45",44,"Uttar Pradesh","Central","Lawyer","Footwear & Shoes",3,20932,"Single"
"95",1002888,"Corey-Lock","P00255842","F","26-35",34,"Andhra Pradesh","Southern","Automobile","Tupperware",2,20930,"Single"
"96",1001891,"Akin","P00192542","F","46-50",46,"Uttar Pradesh","Central","Chemical","Footwear & Shoes",1,20929,"Single"
"97",1001019,"Neil","P00259142","F","36-45",43,"Delhi","Central","Govt","Footwear & Shoes",2,20928,"Married"
"98",1002306,"Lisha","P00084242","M","18-25",21,"Jharkhand","Eastern","Textile","Footwear & Shoes",3,20925,"Married"
"99",1001179,"Amlan","P00208742","M","51-55",54,"Delhi","Central","IT Sector","Footwear & Shoes",3,20920,"Single"
"100",1004957,"Inderpreet","P00163442","F","26-35",34,"Delhi","Central","Healthcare","Footwear & Shoes",1,20914,"Married"
"101",1004079,"Fisher","P00284742","F","36-45",44,"Uttar Pradesh","Central","Agriculture","Footwear & Shoes",2,20914,"Married"
"102",1002124,"Linda","P00369042","F","26-35",29,"Karnataka","Southern","Retail","Footwear & Shoes",3,20912,"Single"
"103",1004335,"Aryan","P00075542","F","36-45",38,"Karnataka","Southern","Healthcare","Footwear & Shoes",4,20912,"Single"
"104",1000280,"Kajal","P00216042","F","51-55",55,"Delhi","Central","Hospitality","Footwear & Shoes",2,20908,"Single"
"105",1003311,"Neola","P00142742","F","26-35",26,"Karnataka","Southern","Hospitality","Footwear & Shoes",1,20908,"Married"
"106",1004161,"Murray","P00345642","F","46-50",46,"Karnataka","Southern","Retail","Footwear & Shoes",4,20906,"Single"
"107",1004285,"Bhishm","P00315842","M","36-45",38,"Uttar Pradesh","Central","Food Processing","Footwear & Shoes",3,20900,"Single"
"108",1000445,"Sukruta","P00114042","F","46-50",47,"Delhi","Central","Retail","Footwear & Shoes",1,20896,"Single"
"109",1003265,"Arti","P00184942","F","26-35",35,"Uttar Pradesh","Central","Food Processing","Stationery",1,20883,"Single"
"110",1003396,"Akshay","P00178242","F","26-35",31,"Delhi","Central","Textile","Footwear & Shoes",4,20875,"Married"
"111",1002380,"Swati","P00124642","F","26-35",26,"Delhi","Central","IT Sector","Footwear & Shoes",2,20874,"Married"
"112",1002059,"Mathew","P00114142","F","36-45",41,"Karnataka","Southern","IT Sector","Footwear & Shoes",1,20874,"Single"
"113",1001335,"Kushal","P00108942","F","36-45",42,"Delhi","Central","IT Sector","Footwear & Shoes",1,20873,"Single"
"114",1004838,"Luxemburg","P00062842","F","46-50",49,"Delhi","Central","Lawyer","Footwear & Shoes",3,20870,"Single"
"115",1001015,"Bharat","P00289942","F","36-45",44,"Delhi","Central","Chemical","Stationery",2,20867,"Single"
"116",1000549,"Sharda","P00113542","F","26-35",31,"Karnataka","Southern","IT Sector","Footwear & Shoes",2,20865,"Single"
"117",1001954,"Steele","P00294542","M","26-35",31,"Jharkhand","Eastern","IT Sector","Footwear & Shoes",3,20863,"Married"
"118",1001912,"Hazel","P00087442","F","26-35",27,"Bihar","Eastern","Automobile","Tupperware",3,20860,"Single"
"119",1003918,"Shariari","P00334242","F","26-35",32,"Karnataka","Southern","Retail","Footwear & Shoes",3,20855,"Single"
"120",1001896,"Brittain","P00117142","M","55+",66,"Uttar Pradesh","Central","Govt","Footwear & Shoes",2,20853,"Single"
"121",1002445,"Shiva","P00184042","F","26-35",28,"Delhi","Central","Aviation","Stationery",4,20852,"Single"
"122",1002279,"Noah","P00368342","F","51-55",52,"Karnataka","Southern","Aviation","Footwear & Shoes",4,20850,"Single"
"123",1002898,"Kotsonis","P00309242","F","18-25",19,"Madhya Pradesh","Central","Healthcare","Footwear & Shoes",4,20847,"Single"
"124",1004277,"Sanjay","P00315442","F","36-45",45,"Delhi","Central","Construction","Footwear & Shoes",2,20840,"Married"
"125",1003576,"Alejandro","P00101342","M","51-55",53,"Maharashtra","Western","Aviation","Footwear & Shoes",4,20837,"Married"
"126",1003724,"Devendra","P00232442","F","36-45",36,"Delhi","Central","Aviation","Footwear & Shoes",2,20833,"Single"
"127",1003384,"Sujay","P00033742","F","36-45",41,"Delhi","Central","Banking","Footwear & Shoes",4,20819,"Married"
"128",1003051,"Moren","P00288342","F","18-25",22,"Uttar Pradesh","Central","Govt","Tupperware",1,20816,"Single"
"129",1003311,"Neola","P00228142","F","26-35",30,"Karnataka","Southern","Hospitality","Footwear & Shoes",3,20815,"Married"
"130",1004782,"Philippe","P00114942","M","46-50",46,"Karnataka","Southern","Hospitality","Footwear & Shoes",1,20815,"Married"
"131",1003998,"Patterson","P00232242","F","46-50",47,"Delhi","Central","IT Sector","Footwear & Shoes",4,20812,"Single"
"132",1000284,"George","P00034742","F","26-35",29,"Karnataka","Southern","Healthcare","Footwear & Shoes",2,20807,"Single"
"133",1000509,"Rohan","P00278042","F","26-35",28,"Delhi","Central","Banking","Footwear & Shoes",2,20805.45,"Single"
"134",1000838,"Divyeshkumar","P00363542","M","51-55",53,"Gujarat","Western","Hospitality","Footwear & Shoes",4,20796,"Married"
"135",1000838,"Divyeshkumar","P00363542","M","51-55",53,"Rajasthan","Northern","Hospitality","Footwear & Shoes",2,20796,"Married"
"136",1002060,"Lynn","P00351042","M","0-17",15,"Bihar","Eastern","Healthcare","Footwear & Shoes",4,20788,"Single"
"137",1000850,"Bhawna","P00324342","M","36-45",40,"Karnataka","Southern","IT Sector","Footwear & Shoes",3,20783,"Married"
"138",1005522,"Mitch","P00179742","F","26-35",35,"Delhi","Central","Automobile","Footwear & Shoes",1,20770,"Married"
"139",1005153,"Ivan","P00190242","F","26-35",33,"Karnataka","Southern","IT Sector","Footwear & Shoes",4,20767,"Married"
"140",1002122,"Avila","P00161442","F","36-45",40,"Karnataka","Southern","Aviation","Footwear & Shoes",1,20767,"Single"
"141",1000984,"Ben","P00248142","F","51-55",52,"Madhya Pradesh","Central","IT Sector","Tupperware",2,20757,"Single"
"142",1005220,"Amlan","P00209842","F","26-35",27,"Delhi","Central","Aviation","Footwear & Shoes",2,20752,"Married"
"143",1001202,"Diwakar","P00205442","F","36-45",45,"Delhi","Central","IT Sector","Footwear & Shoes",2,20752,"Single"
"144",1006014,"Sharelle","P00183142","F","46-50",48,"Karnataka","Southern","Aviation","Footwear & Shoes",4,20751,"Single"
"145",1005111,"Amisha","P00177842","F","36-45",38,"Uttar Pradesh","Central","Media","Footwear & Shoes",4,20751,"Single"
"146",1004227,"William","P00059242","F","26-35",33,"Karnataka","Southern","IT Sector","Footwear & Shoes",3,20745,"Married"
"147",1001331,"Foulston","P00248942","F","46-50",47,"Uttar Pradesh","Central","Banking","Footwear & Shoes",4,20745,"Married"
"148",1004937,"Ferrer","P00112842","F","36-45",40,"Uttar Pradesh","Central","Media","Footwear & Shoes",2,20744,"Married"
"149",1005600,"Muskan","P00085242","M","46-50",47,"Haryana","Northern","Automobile","Tupperware",1,20739,"Single"
"150",1000791,"Stuart","P00127842","M","36-45",44,"Karnataka","Southern","IT Sector","Footwear & Shoes",2,20739,"Married"
"151",1003888,"Beth","P00242742","F","46-50",46,"Madhya Pradesh","Central","Aviation","Footwear & Shoes",2,20729,"Single"
"152",1006016,"Sauptik","P00183742","F","46-50",50,"Delhi","Central","Aviation","Footwear & Shoes",4,20714,"Single"
"153",1000604,"Pistek","P00304642","F","46-50",49,"Karnataka","Southern","Healthcare","Footwear & Shoes",4,20712,"Single"
"154",1000173,"Muhammed","P00057642","F","26-35",29,"Uttar Pradesh","Central","Banking","Tupperware",1,20707,"Married"
"155",1004284,"Piyam","P00032042","F","51-55",53,"Karnataka","Southern","Healthcare","Footwear & Shoes",1,20705,"Single"
"156",1002994,"Hemant","P00000142","F","36-45",42,"Madhya Pradesh","Central","IT Sector","Footwear & Shoes",2,20691,"Single"
"157",1004016,"Dowd","P00123842","M","51-55",51,"Uttar Pradesh","Central","Aviation","Furniture",3,20689,"Married"
"158",1005788,"Bixby","P00130642","F","26-35",26,"Karnataka","Southern","Banking","Footwear & Shoes",2,20688,"Married"
"159",1001184,"Brandow","P00146342","M","26-35",30,"Maharashtra","Western","Media","Footwear & Shoes",4,20678,"Single"
"160",1000053,"Howell","P00120442","F","26-35",33,"Karnataka","Southern","Aviation","Footwear & Shoes",4,20677,"Married"
"161",1002511,"Ananya","P00148642","M","26-35",34,"Kerala","Southern","Chemical","Furniture",1,20677,"Single"
"162",1004377,"Sibella","P00298942","M","26-35",26,"Karnataka","Southern","Retail","Footwear & Shoes",3,20676,"Single"
"163",1005481,"Wale","P00277642","F","46-50",46,"Maharashtra","Western","Govt","Furniture",1,20673,"Single"
"164",1003940,"Kritika","P00159442","F","36-45",36,"Karnataka","Southern","Automobile","Footwear & Shoes",1,20669,"Married"
"165",1000687,"Neola","P00344542","M","26-35",26,"Delhi","Central","Chemical","Tupperware",4,20668,"Single"
"166",1000889,"Parth","P00021842","F","46-50",50,"Delhi","Central","Lawyer","Footwear & Shoes",1,20668,"Married"
"167",1000167,"Brooke","P00322142","M","26-35",32,"Maharashtra","Western","Food Processing","Furniture",2,20666,"Single"
"168",1004972,"Barcio","P00249542","F","36-45",38,"Karnataka","Southern","Banking","Footwear & Shoes",3,20665,"Single"
"169",1003094,"Pelletier","P00223642","F","36-45",41,"Karnataka","Southern","Retail","Footwear & Shoes",1,20664,"Married"
"170",1000157,"Michelle","P00117842","F","36-45",43,"Karnataka","Southern","Automobile","Footwear & Shoes",3,20661,"Single"
"171",1001015,"Bharat","P00109842","M","36-45",40,"Delhi","Central","Food Processing","Footwear & Shoes",3,20660,"Single"
"172",1003468,"Divyansh","P00059442","F","26-35",26,"Delhi","Central","IT Sector","Footwear & Shoes",2,20659,"Married"
"173",1002251,"Raglin","P00337442","F","36-45",36,"Delhi","Central","Media","Footwear & Shoes",1,20659,"Married"
"174",1005014,"Kajal","P00122442","F","46-50",50,"Karnataka","Southern","IT Sector","Tupperware",1,20659,"Single"
"175",1003085,"Natalie","P00267542","F","26-35",32,"Delhi","Central","IT Sector","Footwear & Shoes",4,20657,"Single"
"176",1004112,"Mrunal","P00190242","F","46-50",47,"Delhi","Central","Hospitality","Footwear & Shoes",3,20654,"Married"
"177",1002592,"Nikita","P00356842","F","51-55",51,"Maharashtra","Western","Media","Tupperware",2,20644,"Single"
"178",1001298,"Siddharth","P00349142","F","36-45",36,"Uttar Pradesh","Central","Construction","Footwear & Shoes",1,20642,"Single"
"179",1002537,"Cindy","P00359242","M","36-45",42,"Uttar Pradesh","Central","IT Sector","Footwear & Shoes",4,20641,"Married"
"180",1000971,"Savi","P00016542","F","26-35",32,"Uttar Pradesh","Central","Retail","Footwear & Shoes",1,20628,"Married"
"181",1001103,"Yaanvi","P00334242","M","46-50",48,"Delhi","Central","IT Sector","Tupperware",1,20627,"Single"
"182",1003081,"Kalyani","P00218642","F","26-35",32,"Uttarakhand","Central","Food Processing","Furniture",1,20623,"Single"
"183",1002164,"McCrossin","P00110942","M","36-45",41,"Himachal Pradesh","Northern","Banking","Furniture",4,20622,"Single"
"184",1003635,"Calhoun","P00273042","F","51-55",54,"Delhi","Central","Retail","Footwear & Shoes",4,20620,"Single"
"185",1001030,"Selesnick","P00162442","F","26-35",33,"Karnataka","Southern","Chemical","Footwear & Shoes",4,20619,"Single"
"186",1001029,"Parakh","P00317842","F","26-35",30,"Karnataka","Southern","Lawyer","Footwear & Shoes",3,20615,"Single"
"187",1003311,"Neola","P00180442","F","26-35",29,"Delhi","Central","IT Sector","Footwear & Shoes",3,20608,"Single"
"188",1003416,"Vaibhavi","P00100642","F","26-35",27,"Uttarakhand","Central","Media","Furniture",4,20608,"Married"
"189",1004573,"Cari","P00071442","M","51-55",51,"Haryana","Northern","Aviation","Furniture",4,20607,"Married"
"190",1004179,"Sink","P00100842","M","36-45",43,"Karnataka","Southern","Textile","Furniture",1,20607,"Married"
"191",1005661,"Geld","P00148042","M","26-35",31,"Maharashtra","Western","Healthcare","Tupperware",1,20606,"Single"
"192",1001736,"Martinez","P00227942","M","55+",72,"Uttar Pradesh","Central","Textile","Footwear & Shoes",2,20603,"Married"
"193",1003401,"Ameesha","P00120342","F","36-45",39,"Maharashtra","Western","IT Sector","Footwear & Shoes",2,20602,"Single"
"194",1001835,"Jamie","P00180642","F","26-35",31,"Karnataka","Southern","Aviation","Footwear & Shoes",4,20600,"Single"
"195",1002899,"McCarthy","P00193642","M","36-45",42,"Karnataka","Southern","Automobile","Footwear & Shoes",1,20600,"Married"
"196",1002860,"Chad","P00033942","F","36-45",40,"Delhi","Central","IT Sector","Footwear & Shoes",1,20598,"Single"
"197",1004362,"Prichep","P00015742","F","26-35",26,"Karnataka","Southern","Chemical","Footwear & Shoes",3,20598,"Married"
"198",1001147,"Lanier","P00296642","F","26-35",27,"Kerala","Southern","IT Sector","Tupperware",3,20598,"Single"
"199",1004953,"Sukrith","P00015542","F","36-45",39,"Kerala","Southern","Healthcare","Furniture",3,20595.99,"Single"
"200",1005884,"Elliston","P00112542","F","18-25",25,"Kerala","Southern","Banking","Furniture",2,20594,"Married"
"201",1002765,"Bergman","P00127942","F","51-55",55,"Madhya Pradesh","Central","Aviation","Footwear & Shoes",2,20589,"Single"
"202",1005140,"Arthur","P00157642","F","26-35",29,"Delhi","Central","Healthcare","Footwear & Shoes",1,20588,"Single"
"203",1004161,"Murray","P00265242","F","46-50",50,"Uttar Pradesh","Central","Banking","Furniture",1,20588,"Married"
"204",1003697,"Toch","P00250342","F","26-35",30,"Delhi","Central","Banking","Footwear & Shoes",4,20586,"Single"
"205",1002041,"Dahlen","P00115142","M","26-35",31,"Madhya Pradesh","Central","Banking","Furniture",3,20586,"Married"
"206",1003726,"Randy","P00274042","F","26-35",34,"Karnataka","Southern","Lawyer","Footwear & Shoes",2,20581,"Married"
"207",1001803,"Pradeep","P00249642","F","26-35",33,"Maharashtra","Western","Chemical","Footwear & Shoes",2,20579,"Married"
"208",1005814,"Aayushi","P00113442","M","26-35",30,"Karnataka","Southern","IT Sector","Furniture",4,20573,"Married"
"209",1004901,"Aparajita","P00120242","F","26-35",29,"Delhi","Central","Banking","Footwear & Shoes",4,20572,"Single"
"210",1003958,"Arsheen","P0096942","F","46-50",49,"Karnataka","Southern","Healthcare","Footwear & Shoes",3,20570,"Single"
"211",1003563,"Becky","P00249842","F","26-35",34,"Kerala","Southern","Healthcare","Furniture",4,20570,"Single"
"212",1002793,"Aniket","P00207742","F","36-45",42,"Maharashtra","Western","Govt","Tupperware",3,20569,"Married"
"213",1003283,"Gute","P00233542","M","36-45",38,"Delhi","Central","Textile","Footwear & Shoes",3,20566,"Married"
"214",1001941,"Gopal","P00184942","M","36-45",26,"Delhi","Central","Chemical","Footwear & Shoes",4,20559,"Married"
"215",1004279,"Soumya","P00032142","F","26-35",28,"Uttar Pradesh","Central","Banking","Furniture",1,20558,"Married"
"216",1001181,"Cathy","P00278642","F","36-45",40,"Delhi","Central","Media","Footwear & Shoes",1,20553,"Married"
"217",1003211,"Jason","P00211242","M","51-55",54,"Gujarat","Western","Construction","Furniture",4,20550,"Single"
"218",1000216,"Gjertsen","P00323042","F","46-50",47,"Delhi","Central","Aviation","Footwear & Shoes",2,20549,"Married"
"219",1003618,"Keshav","P00233442","M","18-25",19,"Bihar","Eastern","Aviation","Footwear & Shoes",2,20548,"Single"
"220",1004354,"Zydlo","P00153142","F","36-45",41,"Delhi","Central","Govt","Footwear & Shoes",3,20547,"Single"
"221",1000793,"Staavos","P00068042","M","36-45",41,"Karnataka","Southern","Healthcare","Furniture",1,20546,"Single"
"222",1003690,"Fein","P0099242","F","18-25",24,"Uttar Pradesh","Central","Healthcare","Footwear & Shoes",4,20544,"Single"
"223",1004122,"Aastha","P00118142","F","18-25",23,"Kerala","Southern","Hospitality","Furniture",1,20543,"Single"
"224",1003503,"Lloyd","P00344842","F","18-25",25,"Madhya Pradesh","Central","Govt","Furniture",3,20540,"Single"
"225",1002852,"Harshita","P00123142","F","26-35",29,"Delhi","Central","Media","Footwear & Shoes",2,20537,"Single"
"226",1001004,"Kirkland","P00036342","M","26-35",34,"Delhi","Central","Retail","Footwear & Shoes",1,20536,"Single"
"227",1000390,"Trafton","P00319042","M","26-35",29,"Haryana","Northern","Automobile","Footwear & Shoes",4,20536,"Single"
"228",1003099,"Shahid","P00127542","F","26-35",26,"Karnataka","Southern","Aviation","Footwear & Shoes",2,20536,"Single"
"229",1002201,"Dodson","P00127642","F","55+",83,"Madhya Pradesh","Central","Govt","Furniture",1,20533,"Married"
"230",1002271,"Redmond","P00193542","F","51-55",55,"Gujarat","Western","Aviation","Tupperware",1,20529,"Single"
"231",1004327,"Payne","P00153842","F","36-45",37,"Karnataka","Southern","IT Sector","Footwear & Shoes",4,20525,"Married"
